$ APLOAD
$ Dimensions are Meters   and   KN
LOAD CASE LN02    
*J302L   -4.6235E-04 -3.2133E+01  9.1447E+00  3.3859E-01 -8.5535E-03  1.8276E-03
*J302W   -3.1500E-05 -6.1797E+00  1.7577E+00  7.0988E-02 -1.6158E-03  3.6114E-04
*J303L   -4.6233E-04 -3.2134E+01  9.1446E+00  3.3968E-01 -8.5548E-03  1.8381E-03
*J303W   -2.5922E-05 -6.1797E+00  1.7576E+00  7.1553E-02 -1.6188E-03  3.4210E-04
*J304L   -1.7663E-04 -1.2277E+01  3.4938E+00  1.2997E-01 -3.2660E-03  7.1071E-04
*J304W   -2.0344E-05 -6.1797E+00  1.7575E+00  7.2067E-02 -1.6117E-03  3.5886E-04
*J311W   -3.7077E-05 -6.1797E+00  1.7578E+00  7.0421E-02 -1.6151E-03  3.7544E-04
*J312L   -3.8060E-04 -3.2131E+01  9.1442E+00  4.1165E-01 -1.0391E-02  2.2620E-03
*J312W   -3.1499E-05 -6.1797E+00  1.7577E+00  7.1007E-02 -1.6172E-03  3.5293E-04
*J313L   -3.8058E-04 -3.2131E+01  9.1441E+00  4.1242E-01 -1.0396E-02  2.2602E-03
*J313W   -2.5921E-05 -6.1797E+00  1.7576E+00  7.1544E-02 -1.6160E-03  3.5479E-04
*J314W   -2.0343E-05 -6.1797E+00  1.7575E+00  7.2095E-02 -1.6143E-03  3.4006E-04
*J321W   -3.7077E-05 -6.1797E+00  1.7578E+00  7.0464E-02 -1.6260E-03  3.3723E-04
*J322W   -3.1499E-05 -6.1797E+00  1.7577E+00  7.1022E-02 -1.6189E-03  3.4990E-04
*J323W   -2.5921E-05 -6.1797E+00  1.7576E+00  7.1595E-02 -1.6167E-03  3.4590E-04
*J324W   -2.0343E-05 -6.1797E+00  1.7575E+00  7.2118E-02 -1.6148E-03  3.5419E-04
*J401W   -1.8467E-05 -6.1787E+00  1.7578E+00  9.7288E-02 -2.3370E-03  5.0585E-04
*J402L   -2.9884E-04 -3.2128E+01  9.1436E+00  4.8444E-01 -1.2239E-02  2.6487E-03
*J402W   -1.2889E-05 -6.1787E+00  1.7577E+00  9.7833E-02 -2.3315E-03  5.1340E-04
*J403L   -2.9882E-04 -3.2128E+01  9.1436E+00  4.8541E-01 -1.2251E-02  2.6070E-03
*J403W   -7.3113E-06 -6.1787E+00  1.7576E+00  9.8359E-02 -2.3313E-03  5.0524E-04
*J404W   -1.7332E-06 -6.1787E+00  1.7575E+00  9.8913E-02 -2.3308E-03  4.9588E-04
*J405L    7.4011E-05 -1.2275E+01  3.4904E+00  2.0327E-01 -4.6065E-03  9.6298E-04
*J408L    7.4037E-05 -1.2275E+01  3.4903E+00  2.0420E-01 -4.5763E-03  1.0737E-03
*J411W   -1.8467E-05 -6.1787E+00  1.7578E+00  9.7269E-02 -2.3347E-03  5.1325E-04
*J412L   -2.2390E-04 -3.2126E+01  9.1431E+00  5.5163E-01 -1.3926E-02  3.0378E-03
*J412W   -1.2889E-05 -6.1787E+00  1.7577E+00  9.7864E-02 -2.3371E-03  4.8987E-04
*J413L   -2.2388E-04 -3.2126E+01  9.1431E+00  5.5247E-01 -1.3937E-02  3.0073E-03
*J413W   -7.3108E-06 -6.1787E+00  1.7576E+00  9.8394E-02 -2.3307E-03  5.0381E-04
*J414W   -1.7328E-06 -6.1787E+00  1.7575E+00  9.8851E-02 -2.3268E-03  5.1554E-04
*J421W   -1.8466E-05 -6.1787E+00  1.7578E+00  9.7296E-02 -2.3406E-03  4.8596E-04
*J422L   -9.3358E-05 -1.2274E+01  3.4933E+00  2.0367E-01 -5.1451E-03  1.1242E-03
*J422W   -1.2888E-05 -6.1787E+00  1.7577E+00  9.7848E-02 -2.3317E-03  5.1144E-04
*J423L   -9.3343E-05 -1.2275E+01  3.4933E+00  2.0399E-01 -5.1447E-03  1.1212E-03
*J423W   -7.3104E-06 -6.1787E+00  1.7576E+00  9.8383E-02 -2.3313E-03  5.0777E-04
*J424W   -1.7324E-06 -6.1787E+00  1.7575E+00  9.8890E-02 -2.3341E-03  4.8703E-04
*J426L    7.7843E-05 -1.2274E+01  3.4905E+00  2.2038E-01 -5.0765E-03  1.0793E-03
*J427L    7.7858E-05 -1.2275E+01  3.4904E+00  2.2088E-01 -5.0713E-03  1.1004E-03
*J501L   -4.1948E+00 -1.5947E+01 -1.5253E+02  3.3805E-03 -1.8262E-08 -2.7424E-05
*J501W   -1.4076E-06 -6.1778E+00  1.7578E+00  1.2175E-01 -2.9909E-03  6.5187E-04
*J502L   -1.4895E-04 -3.2124E+01  9.1427E+00  6.1870E-01 -1.5622E-02  3.3789E-03
*J502W    4.1705E-06 -6.1778E+00  1.7577E+00  1.2240E-01 -2.9867E-03  6.5932E-04
*J503L   -1.4893E-04 -3.2124E+01  9.1426E+00  6.1959E-01 -1.5632E-02  3.3595E-03
*J503W    9.7485E-06 -6.1778E+00  1.7576E+00  1.2286E-01 -2.9829E-03  6.6248E-04
*J504L   -4.1948E+00 -1.8786E+01 -1.5253E+02  3.3805E-03 -1.8262E-08 -2.7424E-05
*J504W    1.5326E-05 -6.1778E+00  1.7575E+00  1.2359E-01 -2.9859E-03  6.3935E-04
*J505L   -2.9545E+00 -1.5947E+01  3.5463E-01  3.3805E-03 -1.8262E-08 -2.7424E-05
*J508L   -2.9545E+00 -1.8786E+01  3.5652E-01  3.3805E-03 -1.8262E-08 -2.7424E-05
*J511W   -1.4071E-06 -6.1778E+00  1.7578E+00  1.2177E-01 -2.9891E-03  6.6154E-04
*J512L   -4.7055E-05 -3.7167E+01  1.0518E+01  7.9922E-01 -2.0182E-02  4.3694E-03
*J512W    4.1709E-06 -6.1778E+00  1.7577E+00  1.2237E-01 -2.9866E-03  6.6293E-04
*J513L   -4.7030E-05 -3.7167E+01  1.0518E+01  8.0041E-01 -2.0193E-02  4.3267E-03
*J513W    9.7489E-06 -6.1778E+00  1.7576E+00  1.2289E-01 -2.9862E-03  6.4827E-04
*J514W    1.5327E-05 -6.1778E+00  1.7575E+00  1.2357E-01 -2.9845E-03  6.4470E-04
*J516L    8.5495E-05 -1.2273E+01  3.4908E+00  2.5443E-01 -6.0258E-03  1.3110E-03
*J517L    8.5502E-05 -1.2273E+01  3.4907E+00  2.5469E-01 -6.0288E-03  1.2959E-03
*J521W   -1.4067E-06 -6.1778E+00  1.7578E+00  1.2179E-01 -2.9929E-03  6.4926E-04
*J522L   -1.5313E-04 -3.3022E+01  9.3985E+00  6.3543E-01 -1.6048E-02  3.5015E-03
*J522W    4.1713E-06 -6.1778E+00  1.7577E+00  1.2239E-01 -2.9932E-03  6.3148E-04
*J523L   -1.5309E-04 -3.3023E+01  9.3983E+00  6.3721E-01 -1.6090E-02  3.3692E-03
*J523W    9.7493E-06 -6.1778E+00  1.7576E+00  1.2292E-01 -2.9901E-03  6.3846E-04
*J524W    1.5327E-05 -6.1778E+00  1.7575E+00  1.2354E-01 -2.9860E-03  6.4330E-04
*J526L    2.2744E-04 -3.3022E+01  9.3922E+00  6.7281E-01 -1.5883E-02  3.4993E-03
*J527L    2.2748E-04 -3.3023E+01  9.3920E+00  6.7501E-01 -1.5925E-02  3.3329E-03
*J601L   -1.5893E+00 -8.4239E+00 -8.3561E+01  2.8992E-03 -1.7171E-08 -9.1196E-06
*J601W    1.7203E-05 -6.1769E+00  1.7578E+00  1.4868E-01 -3.7045E-03  8.1090E-04
*J602W    2.2781E-05 -6.1769E+00  1.7577E+00  1.4923E-01 -3.7036E-03  8.0401E-04
*J603W    2.8359E-05 -6.1769E+00  1.7576E+00  1.4980E-01 -3.7016E-03  8.0662E-04
*J604L   -1.5891E+00 -5.6943E+01 -7.0123E+01  1.3003E+00 -3.2786E-02  6.6701E-03
*J604W    3.3937E-05 -6.1769E+00  1.7575E+00  1.5029E-01 -3.6998E-03  8.0650E-04
*J605L   -1.3252E+00 -6.2779E+01  1.5747E+01  1.3354E+00 -3.2472E-02  7.1938E-03
*J608L   -1.3256E+00 -9.3309E+00  2.8429E-01  2.8992E-03 -1.7171E-08 -9.1196E-06
*J611W    1.7203E-05 -6.1769E+00  1.7578E+00  1.4868E-01 -3.7091E-03  7.9159E-04
*J612W    2.2781E-05 -6.1769E+00  1.7577E+00  1.4922E-01 -3.7040E-03  8.0560E-04
*J613W    2.8359E-05 -6.1769E+00  1.7576E+00  1.4974E-01 -3.6988E-03  8.1685E-04
*J614W    3.3938E-05 -6.1769E+00  1.7575E+00  1.5036E-01 -3.7012E-03  7.9911E-04
*J621W    1.7204E-05 -6.1769E+00  1.7578E+00  1.4867E-01 -3.7104E-03  7.9080E-04
*J622W    2.2782E-05 -6.1769E+00  1.7577E+00  1.4923E-01 -3.7088E-03  7.8581E-04
*J623W    2.8360E-05 -6.1769E+00  1.7576E+00  1.4981E-01 -3.7021E-03  8.0604E-04
*J624W    3.3938E-05 -6.1769E+00  1.7575E+00  1.5031E-01 -3.7013E-03  7.9654E-04
*J632L    1.1745E-03 -1.9622E+02  5.5407E+01  5.4697E+00 -1.3848E-01  2.9862E-02
*J633L    1.1748E-03 -1.9622E+02  5.5405E+01  5.4806E+00 -1.3855E-01  2.9672E-02
*J636L    1.8357E-03 -2.2227E+02  6.3239E+01  5.6292E+00 -1.3775E-01  3.0042E-02
*J637L    1.8360E-03 -2.2228E+02  6.3238E+01  5.6390E+00 -1.3782E-01  2.9725E-02
*JP111    5.4809E-01 -4.3024E+01  1.2241E+01  4.9955E-03 -5.8672E-05  4.0594E-04
*JP114   -5.5006E-01 -4.3026E+01  1.2241E+01  8.4343E-03 -2.4216E-04 -4.3847E-04
*JP115   -8.1677E-01 -4.3328E+01  1.2136E+01  1.2153E-01  4.1571E-04  3.4948E-04
*JP118    8.1730E-01 -4.3328E+01  1.2136E+01  1.2499E-01  3.4446E-04 -5.1527E-04
*JP121    1.2980E+00 -3.2861E+00  9.0278E-01  8.7000E-05  2.0547E-04  9.4787E-04
*JP124   -1.2977E+00 -3.2869E+00  9.0318E-01  8.6489E-05 -2.0565E-04 -9.4752E-04
*JP125   -1.2304E+00 -3.2030E+00  7.6588E-01 -2.7616E-04  1.1882E-04  9.4786E-04
*JP128    1.2305E+00 -3.2032E+00  7.6653E-01 -2.7523E-04 -1.1923E-04 -9.4789E-04
*JP131    1.0007E+00 -2.6717E+00  7.3043E-01  6.8847E-05  1.6460E-04  7.5434E-04
*JP134   -1.0009E+00 -2.6713E+00  7.3046E-01  6.8769E-05 -1.6463E-04 -7.5413E-04
*JP135   -9.7323E-01 -2.6455E+00  6.2178E-01 -2.2002E-04  9.4767E-05  7.5451E-04
*JP138    9.7298E-01 -2.6461E+00  6.2207E-01 -2.1956E-04 -9.4978E-05 -7.5449E-04
*JP141    9.3674E-01 -2.5120E+00  6.8244E-01  5.9876E-05  1.6743E-04  7.1235E-04
*JP144   -9.3678E-01 -2.5123E+00  6.8207E-01  6.0230E-05 -1.6733E-04 -7.1231E-04
*JP145   -9.3676E-01 -2.5121E+00  5.6802E-01 -2.2676E-04  8.6341E-05  7.1253E-04
*JP148    9.3694E-01 -2.5119E+00  5.6829E-01 -2.2627E-04 -8.6596E-05 -7.1244E-04
*JP151    9.8280E-01 -2.6365E+00  7.3102E-01  6.8156E-05  1.6485E-04  7.5421E-04
*JP154   -9.8258E-01 -2.6373E+00  7.3103E-01  6.7931E-05 -1.6504E-04 -7.5416E-04
*JP155   -1.0110E+00 -2.6621E+00  6.2108E-01 -2.2113E-04  9.4194E-05  7.5431E-04
*JP158    1.0106E+00 -2.6627E+00  6.2147E-01 -2.2047E-04 -9.4532E-05 -7.5415E-04
*JP161    8.8827E-01 -2.5514E+00  7.0405E-01  4.8499E-05  1.4326E-04  6.4816E-04
*JP164   -8.8856E-01 -2.5511E+00  7.0417E-01  4.8076E-05 -1.4356E-04 -6.4812E-04
*JP165   -8.0812E-01 -2.4738E+00  5.9379E-01 -1.9979E-04  7.4634E-05  6.4832E-04
*JP168    8.0804E-01 -2.4740E+00  5.9402E-01 -1.9931E-04 -7.4910E-05 -6.4819E-04
*JP171    4.1558E-01 -1.1242E+00  3.1430E-01  1.0229E-05  6.2141E-05  2.5010E-04
*JP174   -4.1576E-01 -1.1242E+00  3.1426E-01  1.0154E-05 -6.2235E-05 -2.5009E-04
*JP175   -2.9629E-01 -9.8114E-01  2.5660E-01 -9.2250E-05  2.3488E-05  2.5021E-04
*JP178    2.9609E-01 -9.8151E-01  2.5669E-01 -9.2002E-05 -2.3655E-05 -2.5022E-04
*JP1A1   -1.2990E+00 -5.2313E+00  1.5508E+00 -5.0404E-05  7.4927E-05  1.9129E-04
*JP1A4    1.2992E+00 -5.2323E+00  1.5509E+00 -5.1085E-05 -7.5202E-05 -1.9103E-04
*JP1A5    1.2208E+00 -5.3684E+00  1.5786E+00 -1.4863E-04 -1.8808E-05  1.9110E-04
*JP1A8   -1.2206E+00 -5.3685E+00  1.5777E+00 -1.4875E-04  1.8844E-05 -1.9124E-04
*JP1B1   -2.1536E+00 -9.5656E+00  2.8599E+00 -1.0581E-04  1.0392E-04  2.1227E-04
*JP1B4    2.1528E+00 -9.5652E+00  2.8598E+00 -1.0690E-04 -1.0435E-04 -2.1174E-04
*JP1B5    2.2335E+00 -9.4689E+00  2.8848E+00 -2.3067E-04 -4.8991E-05  2.1220E-04
*JP1B8   -2.2332E+00 -9.4680E+00  2.8837E+00 -2.3017E-04  4.8783E-05 -2.1220E-04
*JP1C1   -1.9426E+00 -8.3419E+00  2.5100E+00 -1.2451E-04  6.7043E-05  3.7673E-05
*JP1C4    1.9418E+00 -8.3410E+00  2.5100E+00 -1.2480E-04 -6.7208E-05 -3.7426E-05
*JP1C5    1.9474E+00 -8.3413E+00  2.5046E+00 -1.8032E-04 -7.3174E-05  3.7946E-05
*JP1C8   -1.9477E+00 -8.3419E+00  2.5047E+00 -1.7915E-04  7.2658E-05 -3.7693E-05
*JP1D1   -1.8306E+00 -7.8825E+00  2.4022E+00 -1.3904E-04  7.6454E-05  3.3270E-05
*JP1D4    1.8299E+00 -7.8819E+00  2.4022E+00 -1.3837E-04 -7.6307E-05 -3.3348E-05
*JP1D5    1.8308E+00 -7.8822E+00  2.3973E+00 -1.9692E-04 -8.6268E-05  3.3329E-05
*JP1D8   -1.8304E+00 -7.8823E+00  2.3972E+00 -1.9590E-04  8.5671E-05 -3.3337E-05
*JP1E1   -1.9273E+00 -8.3227E+00  2.5107E+00 -1.2680E-04  6.7985E-05  3.7522E-05
*JP1E4    1.9274E+00 -8.3238E+00  2.5100E+00 -1.2633E-04 -6.7926E-05 -3.7377E-05
*JP1E5    1.9228E+00 -8.3242E+00  2.5050E+00 -1.8200E-04 -7.4108E-05  3.7401E-05
*JP1E8   -1.9228E+00 -8.3244E+00  2.5044E+00 -1.8132E-04  7.3661E-05 -3.7313E-05
*JP1F1   -2.2291E+00 -9.9244E+00  2.9550E+00 -2.3855E-04 -2.0785E-05 -4.8586E-04
*JP1F4    2.2299E+00 -9.9264E+00  2.9552E+00 -2.3971E-04  2.0053E-05  4.8628E-04
*JP1F5    2.5032E+00 -9.6664E+00  2.9195E+00 -1.0867E-04 -1.7828E-04 -4.8567E-04
*JP1F8   -2.5034E+00 -9.6673E+00  2.9187E+00 -1.0871E-04  1.7814E-04  4.8597E-04
