LOADCNLN02
LOAD   404W      0.0000-6.17871.757500.09891 -0.00230.00050 GLOB JOIN
LOAD   405L     0.00007-12.2753.490400.20327 -0.00460.00096 GLOB JOIN
LOAD   408L     0.00007-12.2753.490300.20420 -0.00460.00107 GLOB JOIN
LOAD   411W      0.0000-6.17871.757800.09727 -0.00230.00051 GLOB JOIN
LOAD   412L     -0.0002-32.1269.143100.55163 -0.01390.00304 GLOB JOIN
LOAD   412W      0.0000-6.17871.757700.09786 -0.00230.00049 GLOB JOIN
LOAD   413L     -0.0002-32.1269.143100.55247 -0.01390.00301 GLOB JOIN
LOAD   413W      0.0000-6.17871.757600.09839 -0.00230.00050 GLOB JOIN
LOAD   414W      0.0000-6.17871.757500.09885 -0.00230.00052 GLOB JOIN
LOAD   421W      0.0000-6.17871.757800.09730 -0.00230.00049 GLOB JOIN
LOAD   422L     -0.0001-12.2743.493300.20367 -0.00510.00112 GLOB JOIN
LOAD   422W      0.0000-6.17871.757700.09785 -0.00230.00051 GLOB JOIN
LOAD   423L     -0.0001-12.2753.493300.20399 -0.00510.00112 GLOB JOIN
LOAD   423W      0.0000-6.17871.757600.09838 -0.00230.00051 GLOB JOIN
LOAD   424W      0.0000-6.17871.757500.09889 -0.00230.00049 GLOB JOIN
LOAD   426L     0.00008-12.2743.490500.22038 -0.00510.00108 GLOB JOIN
LOAD   427L     0.00008-12.2753.490400.22088 -0.00510.00110 GLOB JOIN
LOAD   501L     -4.1948-15.947-152.530.00338  0.0000 0.0000 GLOB JOIN
LOAD   501W      0.0000-6.17781.757800.12175 -0.00300.00065 GLOB JOIN
LOAD   502L     -0.0001-32.1249.142700.61870 -0.01560.00338 GLOB JOIN
LOAD   502W     0.00000-6.17781.757700.12240 -0.00300.00066 GLOB JOIN
LOAD   503L     -0.0001-32.1249.142600.61959 -0.01560.00336 GLOB JOIN
LOAD   503W     0.00001-6.17781.757600.12286 -0.00300.00066 GLOB JOIN
LOAD   504L     -4.1948-18.786-152.530.00338  0.0000 0.0000 GLOB JOIN
LOAD   504W     0.00002-6.17781.757500.12359 -0.00300.00064 GLOB JOIN
LOAD   505L     -2.9545-15.9470.354630.00338  0.0000 0.0000 GLOB JOIN
LOAD   508L     -2.9545-18.7860.356520.00338  0.0000 0.0000 GLOB JOIN
LOAD   511W      0.0000-6.17781.757800.12177 -0.00300.00066 GLOB JOIN
LOAD   512L      0.0000-37.16710.51800.79922 -0.02020.00437 GLOB JOIN
LOAD   512W     0.00000-6.17781.757700.12237 -0.00300.00066 GLOB JOIN
LOAD   513L      0.0000-37.16710.51800.80041 -0.02020.00433 GLOB JOIN
LOAD   513W     0.00001-6.17781.757600.12289 -0.00300.00065 GLOB JOIN
LOAD   514W     0.00002-6.17781.757500.12357 -0.00300.00064 GLOB JOIN
LOAD   516L     0.00009-12.2733.490800.25443 -0.00600.00131 GLOB JOIN
LOAD   517L     0.00009-12.2733.490700.25469 -0.00600.00130 GLOB JOIN
LOAD   521W      0.0000-6.17781.757800.12179 -0.00300.00065 GLOB JOIN
LOAD   522L     -0.0002-33.0229.398500.63543 -0.01600.00350 GLOB JOIN
LOAD   522W     0.00000-6.17781.757700.12239 -0.00300.00063 GLOB JOIN
LOAD   523L     -0.0002-33.0239.398300.63721 -0.01610.00337 GLOB JOIN
LOAD   523W     0.00001-6.17781.757600.12292 -0.00300.00064 GLOB JOIN
LOAD   524W     0.00002-6.17781.757500.12354 -0.00300.00064 GLOB JOIN
LOAD   526L     0.00023-33.0229.392200.67281 -0.01590.00350 GLOB JOIN
LOAD   527L     0.00023-33.0239.392000.67501 -0.01590.00333 GLOB JOIN
LOAD   601L     -1.5893-8.4239-83.5610.00290  0.0000 0.0000 GLOB JOIN
LOAD   601W     0.00002-6.17691.757800.14868 -0.00370.00081 GLOB JOIN
LOAD   602W     0.00002-6.17691.757700.14923 -0.00370.00080 GLOB JOIN
LOAD   603W     0.00003-6.17691.757600.14980 -0.00370.00081 GLOB JOIN
LOAD   604L     -1.5891-56.943-70.1231.30030 -0.03280.00667 GLOB JOIN
LOAD   604W     0.00003-6.17691.757500.15029 -0.00370.00081 GLOB JOIN
LOAD   605L     -1.3252-62.77915.74701.33540 -0.03250.00719 GLOB JOIN
